"ID","DV"
344,60.4657920780306
495,79.5113871049736
207,46.5683628339175
91,56.1017897637101
498,61.7276700536141
492,83.2433372566857
248,77.9115960970476
576,61.9686349862431
541,63.6820252676799
168,56.3868226806534
40,69.9140446951385
312,65.6107399240594
527,74.5156221237046
294,76.5592924596785
384,45.0081293740497
76,77.1754388121783
101,71.0308532208197
230,60.1924123339845
572,77.9378892660687
137,70.431471351581
185,67.6004026568324
184,81.9484973831329
480,NA
565,80.6447270536746
337,67.0728830606982
281,58.4782408767396
503,78.5012252458318
438,NA
451,79.9154246935504
7,75.7689511484237
472,42.5561096132229
9,57.1306356466876
227,40.9668617126691
635,55.8161068173586
621,NA
596,70.5320534345791
120,54.242940900011
291,49.3805688233125
566,76.8342278739746
204,NA
552,58.8139341671587
329,54.0888653656899
115,57.8314255037741
145,54.8889133910911
338,89.3908088300974
299,64.1532347568013
446,63.1221160187021
206,52.2677969334196
225,47.254498356657
380,62.3272107909524
389,65.6167415841127
418,76.4371271660756
409,NA
372,84.118812632568
352,49.2921180984448
379,65.3596011243661
501,60.8482141599711
135,68.6444051068484
359,69.4393206525497
132,NA
346,42.4195426047034
624,NA
416,51.4888229433249
48,62.9636961831381
274,48.4437374981499
588,50.2551946539944
456,66.9621123229119
2,61.2306773778663
564,70.7583201539896
104,66.8644100168763
75,88.1847110868713
221,71.8189623415771
453,41.7835396676069
525,76.115810898068
493,79.9578045207173
375,75.8755381004239
350,65.507653550554
307,42.3293287735229
633,67.1129713913517
459,64.4485799232797
630,77.3815706610413
113,59.587452173484
36,54.7052770753316
600,70.7544273824884
423,NA
215,69.8856946092094
450,34.8064221059521
441,48.2669799249674
609,65.4146312085332
345,77.8486917404481
322,81.7932148890114
253,79.0745401469727
369,48.0402280610697
119,57.9148749311686
563,88.7487179233529
488,63.9604118762711
530,65.0428740749647
535,79.2617981293843
147,53.8778542911811
500,74.9852458410731
401,56.8441150475624
229,53.282986179439
50,47.9318240035872
22,53.8709213621501
305,NA
520,NA
20,NA
597,73.6048487450707
323,53.7503912387212
